ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:12:31Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6312,3050,0,Running
2026-05-19T14:12:31Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:38Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:12:38Z,formbricks-587b784596-zgjn5,formbricks,5,472,0,Running
2026-05-19T14:12:38Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:38Z,formbricks-hub-6d86596db9-7xckk,hub,8,14,0,Running
2026-05-19T14:12:38Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6354,3046,0,Running
2026-05-19T14:12:38Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:45Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:12:45Z,formbricks-587b784596-zgjn5,formbricks,5,472,0,Running
2026-05-19T14:12:45Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:45Z,formbricks-hub-6d86596db9-7xckk,hub,8,14,0,Running
2026-05-19T14:12:45Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6354,3046,0,Running
2026-05-19T14:12:45Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:53Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:12:53Z,formbricks-587b784596-zgjn5,formbricks,2,472,0,Running
2026-05-19T14:12:53Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:53Z,formbricks-hub-6d86596db9-7xckk,hub,10,14,0,Running
2026-05-19T14:12:53Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6105,3047,0,Running
2026-05-19T14:12:53Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:13:00Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:00Z,formbricks-587b784596-zgjn5,formbricks,2,472,0,Running
2026-05-19T14:13:00Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:00Z,formbricks-hub-6d86596db9-7xckk,hub,10,14,0,Running
2026-05-19T14:13:00Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6105,3047,0,Running
2026-05-19T14:13:00Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:13:07Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:07Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:13:07Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:07Z,formbricks-hub-6d86596db9-7xckk,hub,9,14,0,Running
2026-05-19T14:13:07Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6234,3050,0,Running
2026-05-19T14:13:07Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:14Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:14Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:13:14Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:14Z,formbricks-hub-6d86596db9-7xckk,hub,9,14,0,Running
2026-05-19T14:13:14Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6234,3050,0,Running
2026-05-19T14:13:14Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:22Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:13:22Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:13:22Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:22Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:13:22Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6062,3047,0,Running
2026-05-19T14:13:22Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:29Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:13:29Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:13:29Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:29Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:13:29Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6062,3047,0,Running
2026-05-19T14:13:29Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:36Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:36Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:13:36Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:36Z,formbricks-hub-6d86596db9-7xckk,hub,10,15,0,Running
2026-05-19T14:13:36Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6251,3050,0,Running
2026-05-19T14:13:36Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:44Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:44Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:13:44Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:44Z,formbricks-hub-6d86596db9-7xckk,hub,10,15,0,Running
2026-05-19T14:13:44Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6251,3050,0,Running
2026-05-19T14:13:44Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:51Z,formbricks-587b784596-qlf9g,formbricks,6,458,1,Running
2026-05-19T14:13:51Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:13:51Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
