ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:03:53Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5946,3044,0,Running
2026-05-19T14:03:53Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:04:01Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:04:01Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:04:01Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:04:01Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:04:01Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5946,3044,0,Running
2026-05-19T14:04:01Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:04:08Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:04:08Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:04:08Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:04:08Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:04:08Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5838,3044,0,Running
2026-05-19T14:04:08Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:04:15Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:04:15Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:04:15Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:04:15Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:04:15Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5838,3044,0,Running
2026-05-19T14:04:15Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:04:22Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:04:22Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:04:22Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:04:22Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:04:22Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5828,3043,0,Running
2026-05-19T14:04:22Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:04:30Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:04:30Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:04:30Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:04:30Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:04:30Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5828,3043,0,Running
2026-05-19T14:04:30Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:04:37Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:04:37Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:04:37Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:04:37Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:04:37Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6029,3042,0,Running
2026-05-19T14:04:37Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:04:44Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:04:44Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:04:44Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
