ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:06:50Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5963,3040,0,Running
2026-05-19T14:06:50Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:06:58Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:06:58Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:06:58Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:06:58Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:06:58Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5963,3040,0,Running
2026-05-19T14:06:58Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:07:05Z,formbricks-587b784596-qlf9g,formbricks,6,458,1,Running
2026-05-19T14:07:05Z,formbricks-587b784596-zgjn5,formbricks,6,472,0,Running
2026-05-19T14:07:05Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:05Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:07:05Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6205,3038,0,Running
2026-05-19T14:07:05Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:07:13Z,formbricks-587b784596-qlf9g,formbricks,6,458,1,Running
2026-05-19T14:07:13Z,formbricks-587b784596-zgjn5,formbricks,6,472,0,Running
2026-05-19T14:07:13Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:13Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:07:13Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6205,3038,0,Running
2026-05-19T14:07:13Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:07:20Z,formbricks-587b784596-qlf9g,formbricks,6,457,1,Running
2026-05-19T14:07:20Z,formbricks-587b784596-zgjn5,formbricks,5,472,0,Running
2026-05-19T14:07:20Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:20Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:07:20Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5581,3039,0,Running
2026-05-19T14:07:20Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:07:27Z,formbricks-587b784596-qlf9g,formbricks,6,457,1,Running
2026-05-19T14:07:27Z,formbricks-587b784596-zgjn5,formbricks,5,472,0,Running
2026-05-19T14:07:27Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:27Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:07:27Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5581,3039,0,Running
2026-05-19T14:07:27Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:07:35Z,formbricks-587b784596-qlf9g,formbricks,4,457,1,Running
2026-05-19T14:07:35Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:07:35Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:35Z,formbricks-hub-6d86596db9-7xckk,hub,3,10,0,Running
2026-05-19T14:07:35Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5794,3040,0,Running
2026-05-19T14:07:35Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,8,0,Running
2026-05-19T14:07:42Z,formbricks-587b784596-qlf9g,formbricks,4,457,1,Running
2026-05-19T14:07:42Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:07:42Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:42Z,formbricks-hub-6d86596db9-7xckk,hub,3,10,0,Running
2026-05-19T14:07:42Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5794,3040,0,Running
2026-05-19T14:07:42Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,8,0,Running
2026-05-19T14:07:49Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:07:49Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:07:49Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:49Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:07:49Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6366,3041,0,Running
2026-05-19T14:07:49Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:07:57Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:07:57Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:07:57Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:57Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:07:57Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6366,3041,0,Running
2026-05-19T14:07:57Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:08:04Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:08:04Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:08:04Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:08:04Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:08:04Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5838,3041,0,Running
2026-05-19T14:08:04Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:08:11Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:08:11Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:08:11Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:08:11Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:08:11Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5838,3041,0,Running
2026-05-19T14:08:11Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:08:19Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:08:19Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:08:19Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:08:19Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:08:19Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6072,3042,0,Running
2026-05-19T14:08:19Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:08:26Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:08:26Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:08:26Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:08:26Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:08:26Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6072,3042,0,Running
2026-05-19T14:08:26Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:08:33Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:08:33Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:08:33Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:08:33Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:08:33Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6072,3042,0,Running
2026-05-19T14:08:33Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:08:40Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:08:40Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:08:40Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:08:40Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:08:40Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6096,3042,0,Running
2026-05-19T14:08:40Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:08:48Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:08:48Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:08:48Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:08:48Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:08:48Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6096,3042,0,Running
2026-05-19T14:08:48Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:08:55Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:08:55Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:08:55Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
